LLM model 01,LLM model 02,LLM model 003,LLM model 04,LLM model 05,LLm model 06,LLM model 07,LLM model 08,LLM model 09,LLm model 10
800,686.66,Successful address similar team together plan.,1971-09-16,window,866.35,758,820,Piece page television could.,155
457,233.51,Apply thought benefit list have.,1995-09-13,contain,783.3,605,143,Rich really two moment hand.,509
214,874.27,Appear with against seven strategy four.,2005-04-13,series,623.23,206,228,Even rich other over. Use personal good like.,565
477,523.76,Dark according fear defense six theory benefit.,2012-12-21,civil,835.94,4,904,Find shake PM.,1
822,775.84,Far nice speak western seven.,2021-03-05,challenge,108.75,603,983,Interview change American site live both offer.,824
898,297.2,Wonder most decision beautiful.,1971-02-01,century,742.74,32,297,Hospital contain wait.,764
934,271.92,Trade development again site.,1989-06-02,save,557.55,484,945,Different similar second she leg.,67
31,293.37,Special thing indeed present beautiful nor.,2006-09-30,process,9.16,517,178,Serious pull interest side police lose on.,835
14,817.08,Project town nor good some eight.,1996-10-22,into,809.12,738,529,How play final your out quite mind role.,571
679,448.44,Activity again stock second.,2018-03-10,test,285.23,1,426,Consider sit nothing more fear.,539
737,951.55,Claim policy goal economic pick fire.,1999-02-02,others,623.27,383,66,Environment worry hospital next like.,194
881,51.49,City treatment whole security house always.,1986-02-01,reduce,995.04,838,731,Safe police still town per environmental.,562
294,285.96,Various speak north during author truth but.,2015-10-17,drug,557.76,181,185,Discuss modern list sing nice provide.,309
642,118.01,Student listen travel media either network smile.,1991-12-29,take,34.41,223,138,Space people fear sometimes go.,669
358,162.81,Law executive sister keep.,1981-10-30,accept,1.86,207,452,Other go until how. Where however decade.,163
889,671.3,Million door market piece party.,2025-03-27,four,864.57,544,739,Example glass fast leader help must Mr.,262
928,190.15,Room low film old. People charge allow medical.,1986-06-05,development,842.29,856,529,Able idea peace.,5
163,817.31,Fish take our analysis treat health vote model.,2002-07-16,start,195.59,155,296,Onto such office manager PM general probably.,876
77,391.29,Writer figure history service behind.,2003-12-27,majority,493.83,103,51,Case rock beat page base approach.,696
27,59.52,Wrong subject suggest off throw.,1975-05-27,information,858.69,674,232,Rich plant fish probably energy.,687
439,271.98,Four win enter article determine high author.,2019-05-05,wide,665.54,134,902,Seek west produce full maintain.,683
581,825.8,Smile Republican improve theory.,1987-01-10,light,917.56,187,747,Expect happy those.,922
83,527.48,Mention surface real itself quickly pay.,2016-03-16,success,442.45,628,532,Take suddenly raise national onto factor because.,762
140,969.97,Population spend professional.,2010-05-04,modern,539.61,807,42,Against discussion team offer.,274
576,942.67,You lose future state hit. Mouth cultural star.,2001-11-11,order,647.07,532,863,Deep lay middle affect either executive million.,774
